0.0 0.0
0.00338794 22.7091
0.00459079 69.8441
0.0046331 92.6076
0.00467239 113.745
0.0047147 136.509
0.00477515 169.028
0.00491719 45.4485
0.00520733 201.541
0.00564253 235.681
0.00681214 264.93
0.00909091 290.909
0.0117384 315.256
0.0151203 334.713
0.0196174 354.153
0.0248489 368.702
0.0308118 376.735
0.0367777 386.394
0.0431093 392.795
0.0505591 400.804
0.0572594 405.573
0.0632132 408.728
0.0691671 411.883
0.0754926 415.033
0.0814464 418.188
0.087772 421.337
0.0937228 422.866
0.0996766 426.022
0.104887 429.189
0.110463 429.098
0.116414 430.627
0.122368 433.783
0.129065 436.926
