0.0 0.0
0.00326968 292.885
0.00458707 313.805
0.00464703 337.515
0.00974378 352.853
0.0148053 354.245
0.0173113 345.178
0.0261451 338.2
0.0324851 345.169
0.0337779 356.326
0.041393 367.479
0.0476907 357.713
0.054029 363.985
0.0629034 373.046
0.0742979 378.618
0.0844332 386.283
0.0958294 392.552
0.108501 403.005
0.117352 403
0.132537 407.175
0.147714 408.561
0.156557 405.069
0.167933 403.668
0.176792 406.452
0.186917 409.933
0.200826 409.925
0.212212 412.011
0.227391 414.094
0.243838 417.571
0.255222 418.959
0.267867 418.952
0.280515 420.339
0.293167 423.121
0.303281 422.418
0.315928 423.108
0.328578 425.193
0.33996 425.883
0.355137 427.269
0.36652 427.96
0.37917 430.045
0.389286 430.039
0.408255 430.725
0.418374 432.114
0.431019 432.107
0.443666 432.797
0.458834 430.696
0.472751 433.477
0.485395 433.47
0.494247 433.465
