8.9600e+02 2.7000e+03 2.9400e+02 5.0000e+01 2.3470e-02 2.3306e-02 -1.0000e-03 -1.0000e-03 7.6200e-03 -1.0000e-03 -1.0000e-03
8.9421e-05 -1.0000e-04 1.0703e-06 -1.0000e-06 -1.0000e-03 -1.0000e-03 2.8899e-03 1.4449e-01 3.6123e+00 0.0000e+00 3.6123e+00
3.0801e+00 9.9300e-01 -4.2608e-02 -4.2608e-02 -1.3123e-01 -1.3123e-01 -1.1183e+00 -9.3430e-01 0.0 0.0 0.0
8.9600e+02 2.7000e+03 2.9400e+02 1.6900e+02 2.3470e-02 2.1592e-02 -1.0000e-03 -1.0000e-03 7.6200e-03 -1.0000e-03 -1.0000e-03
8.9421e-05 -1.0000e-04 1.0703e-06 -1.0000e-06 -1.0000e-03 -1.0000e-03 2.8899e-03 4.8839e-01 4.1269e+01 0.0000e+00 4.1269e+01
3.0801e+00 9.2000e-01 -4.2608e-02 -4.2608e-02 -1.3123e-01 -1.3123e-01 -1.1183e+00 -9.3430e-01 0.0 0.0 0.0
8.9600e+02 2.7000e+03 2.9400e+02 1.9100e+02 2.3470e-02 2.1264e-02 -1.0000e-03 -1.0000e-03 7.6200e-03 -1.0000e-03 -1.0000e-03
8.9421e-05 -1.0000e-04 1.0703e-06 -1.0000e-06 -1.0000e-03 -1.0000e-03 2.8899e-03 5.5196e-01 5.2712e+01 0.0000e+00 5.2712e+01
3.0801e+00 9.0600e-01 -4.2608e-02 -4.2608e-02 -1.3123e-01 -1.3123e-01 -1.1183e+00 -9.3430e-01 0.0 0.0 0.0
8.9600e+02 2.7000e+03 2.9400e+02 2.6200e+02 2.3470e-02 1.9809e-02 -1.0000e-03 -1.0000e-03 7.6200e-03 -1.0000e-03 -1.0000e-03
8.9421e-05 -1.0000e-04 1.0703e-06 -1.0000e-06 -1.0000e-03 -1.0000e-03 2.8899e-03 7.5714e-01 9.9186e+01 0.0000e+00 9.9186e+01
3.0801e+00 8.4400e-01 -4.2608e-02 -4.2608e-02 -1.3123e-01 -1.3123e-01 -1.1183e+00 -9.3430e-01 0.0 0.0 0.0
8.9600e+02 2.7000e+03 2.9400e+02 2.8300e+02 2.3470e-02 1.8917e-02 -1.0000e-03 -1.0000e-03 7.6200e-03 -1.0000e-03 -1.0000e-03
8.9421e-05 -1.0000e-04 1.0703e-06 -1.0000e-06 -1.0000e-03 -1.0000e-03 2.8899e-03 8.1783e-01 1.1572e+02 0.0000e+00 1.1572e+02
3.0801e+00 8.0600e-01 -4.2608e-02 -4.2608e-02 -1.3123e-01 -1.3123e-01 -1.1183e+00 -9.3430e-01 0.0 0.0 0.0
8.9600e+02 2.7000e+03 2.9400e+02 3.0600e+02 2.3470e-02 1.8400e-02 -1.0000e-03 -1.0000e-03 7.6200e-03 -1.0000e-03 -1.0000e-03
8.9421e-05 -1.0000e-04 1.0703e-06 -1.0000e-06 -1.0000e-03 -1.0000e-03 2.8899e-03 8.8430e-01 1.3530e+02 0.0000e+00 1.3530e+02
3.0801e+00 7.8400e-01 -4.2608e-02 -4.2608e-02 -1.3123e-01 -1.3123e-01 -1.1183e+00 -9.3430e-01 0.0 0.0 0.0
8.9600e+02 2.7000e+03 2.9400e+02 3.7300e+02 2.3470e-02 1.6499e-02 7.5000e-03 1.8470e-02 7.6200e-03 1.6600e-02 8.3000e-03
8.9421e-05 7.1340e-05 1.0703e-06 1.0249e-06 2.2900e-03 7.4400e-03 2.8899e-03 1.0779e+00 2.0103e+02 0.0000e+00 2.0103e+02
3.0801e+00 7.0300e-01 3.1956e-01 7.8696e-01 2.1785e+00 1.0892e+00 7.9780e-01 9.5757e-01 0.0 0.0 0.0
8.9600e+02 2.7000e+03 2.9400e+02 4.7800e+02 2.3470e-02 1.3190e-02 -1.0000e-03 -1.0000e-03 7.6200e-03 -1.0000e-03 -1.0000e-03
8.9421e-05 -1.0000e-04 1.0703e-06 -1.0000e-06 -1.0000e-03 -1.0000e-03 2.8899e-03 1.3814e+00 3.3014e+02 0.0000e+00 3.3014e+02
3.0801e+00 5.6200e-01 -4.2608e-02 -4.2608e-02 -1.3123e-01 -1.3123e-01 -1.1183e+00 -9.3430e-01 0.0 0.0 0.0
8.9600e+02 2.7000e+03 2.9400e+02 6.0300e+02 2.3470e-02 8.6839e-03 -1.0000e-03 -1.0000e-03 7.6200e-03 -1.0000e-03 -1.0000e-03
8.9421e-05 -1.0000e-04 1.0703e-06 -1.0000e-06 -1.0000e-03 -1.0000e-03 2.8899e-03 1.7426e+00 5.2539e+02 0.0000e+00 5.2539e+02
3.0801e+00 3.7000e-01 -4.2608e-02 -4.2608e-02 -1.3123e-01 -1.3123e-01 -1.1183e+00 -9.3430e-01 0.0 0.0 0.0
8.9600e+02 2.7000e+03 2.9400e+02 5.1000e+01 4.6940e-02 4.6705e-02 -1.0000e-03 -1.0000e-03 7.6200e-03 -1.0000e-03 -1.0000e-03
1.7884e-04 -1.0000e-04 2.1406e-06 -1.0000e-06 -1.0000e-03 -1.0000e-03 5.7797e-03 2.9477e-01 7.5165e+00 0.0000e+00 7.5165e+00
6.1601e+00 9.9500e-01 -2.1304e-02 -2.1304e-02 -1.3123e-01 -1.3123e-01 -5.5915e-01 -4.6715e-01 0.0 0.0 0.0
8.9600e+02 2.7000e+03 2.9400e+02 6.9000e+01 4.6940e-02 4.6377e-02 -1.0000e-03 -1.0000e-03 7.6200e-03 -1.0000e-03 -1.0000e-03
