161 0.115 109 77 0.00057 0
96 0.07 209.5 201 0.00057 0
75 0.072 297 289 0.00057 0
92 0.065 310 297 4.8e-005 0
80 0.06 379 373 0.00057 0
34 0.09 480 473 0.00057 0
94 0.06 538 533 1e-005 0
48 0.05 645 644 1e-005 0
168.2 0.07 304 294 0.001 0
120 0.265 330 295 0.001 0
170 0.15 323 298 0.001 0
116 0.065 308 300 0.001 0
117 0.065 374.5 367 0.001 0
113 0.08 430 422 0.001 0
150.478 0.07 431 422 0.001 0
78 0.07 429.5 422 0.001 0
99 0.085 485 478 0.001 0
127.04 0.072 485.5 478 0.001 0
76.5188 0.075 565 561 0.001 0
8 0.017 590 589 0.001 0
115 0.11 310 295 0.002 0
33 0.014 300 298 0.002 0
17 0.004 375 373 0.002 0
37 0.007 423 422 0.002 0
159.77 0.071 431 422 0.002 0
24 0.005 478 477 0.002 0
153.931 0.08 485 478 0.002 0
28 0.008 536 535 0.002 0
100.969 0.08 565 561 0.002 0
53 0.006 590 589 0.002 0
30 0.003 645 644 0.002 0
163.913 0.07 431 422 0.02 0
149.784 0.071 431 422 0.085 0
156.022 0.072 486 478 0.05 0
106.241 0.074 565.2 561 0.02 0
103.612 0.074 565.5 561 0.06 0
100.731 0.074 565.7 561 0.085 0
98.7759 0.074 565.9 561 0.15 0
161.042 0.071 432 422 1.1 0
154.888 0.071 486 478 0.75 0
127.617 0.073 566 561 0.7 0
126.549 0.073 566 561 1.2 0
179.462 0.07 431.5 422 8.5 0
66 0.072 430 422 9 0
176.762 0.07 486.5 478 5 0
31 0.02 590 589 10 0
120 0.14 308 295 18 0
92 0.055 302 297 28 0
164.384 0.071 431.5 422 30 0
176.953 0.071 487 478 30 0
125 0.07 536 533 18 0
100 0.07 650 644 23 0
75 0.07 302 297 65 0
128.723 0.073 566.5 561 50 0
85 0.07 649 644 54 0
205 0.165 322.5 298 380 0
245 0.21 337 298 500 0
115 0.06 540 533 130 0
161.443 0.07 305 294 1000 0
125 0.33 350 298 1000 0
130 0.065 307 298 1000 0
179.806 0.07 431.8 422 1000 0
134 0.055 468.5 463 1000 0
178.416 0.07 487 478 900 0
170.28 0.07 487 478 1000 0
123.024 0.07 566.5 561 1000 0
122.248 0.07 566.5 561 1150 0
131 0.085 621.5 618 1000 0
195 0.1 111 77 1500 0
131 0.1 216 201 1500 0
87.5 0.062 296 289 1500 0
175 0.25 335 295 2500 0
112 0.25 335 298 2000 0
180 0.135 320 298 2000 0
97 0.075 381 373 1500 0
80 0.085 480.5 473 1500 0
120 0.31 350 298 3000 0
170 0.15 321.5 298 3600 0
99 0.12 316 298 4000 0
110 0.31 346.5 298 4000 0
127 0.5 375 298 4000 0
166 0.26 344 298 8000 0
97 0.4 358 298 29000 0
