x Curve1
2.81625 32.7147
18.9221 36.0253
66.1787 38.9879
79.983 39.0086
89.7476 38.9924
97.6908 37.1669
105.141 34.5988
110.579 31.5905
114.676 28.2536
118.439 24.7028
121.875 20.6217
x Curve2
2.96505 33.876
9.154 36.2524
25.7826 38.5133
46.2773 41.1259
78.2235 43.5268
91.5086 44.3864
98.7484 44.3471
106.342 43.2566
114.116 41.535
122.077 38.6552
127.509 35.9632
132.959 32.2169
136.884 29.0893
139.801 25.847
142.368 23.3397
144.982 18.0912
x Curve3
2.7701 35.4559
14.3401 38.1978
37.9975 42.9483
51.2543 45.4948
96.3244 48.332
110.132 48.1418
118.409 46.5303
126.86 44.4985
132.454 42.2298
139.749 38.9221
146.547 35.0827
151.654 31.755
156.599 28.0041
161.72 23.8329
165.987 20.3921
169.592 16.2072
x Curve4
2.41215 36.718
8.12098 37.6138
27.2372 42.1118
52.5743 47.0886
79.9366 51.7674
117.615 53.6935
126.21 53.1394
134.66 51.2131
141.097 48.8466
146.694 46.367
152.311 42.7276
156.744 39.3938
161.188 35.4274
164.964 31.1385
168.742 26.7442
171.672 22.6585
173.078 19.1916
