273 2.86 2.38 7.62 7.30
313 2.79 2.31 7.60 7.24
353 2.72 2.24 7.55 7.15
393 2.66 2.17 7.52 7.07
433 2.60 2.10 7.49 7.00
473 2.53 2.03 7.47 6.91
513 2.47 1.96 7.44 6.83
553 2.40 1.89 7.40 6.73
593 2.34 1.83 7.36 6.61
633 2.28 1.76 7.31 6.50
673 2.21 1.69 7.28 6.38
713 2.14 1.62 7.26 6.28
753 2.08 1.55 7.21 6.14
793 2.01 1.47 7.19 6.03
833 1.94 1.39 7.17 5.91
873 1.86 1.31 7.16 5.80
913 1.78 1.22 7.11 5.67
